label {9},style {2},name {7}
ITM_INFO_001_Name,21,Nutrimento per il Grande Albero
ITM_INFO_002_Name,21,Abilità di caccia Pron
ITM_INFO_003_Name,21,Proprietà Agrifoglio Kepha
ITM_INFO_004_Name,21,Posizione di Tatsu
ITM_INFO_005_Name,21,Avvistamento di Tatsu
ITM_INFO_006_Name,21,Compagno di Yelv
ITM_INFO_007_Name,21,Compagno di Yelv
ITM_INFO_008_Name,21,Tec. raffin. Ultracciaio di Neraph
ITM_INFO_009_Name,21,Turno di notte del comandante
ITM_INFO_010_Name,0,
ITM_INFO_011_Name,21,Informazioni sul candidato 1
ITM_INFO_012_Name,21,Informazioni sul candidato 2
ITM_INFO_013_Name,21,Informazioni sul candidato 3
ITM_INFO_014_Name,0,
ITM_INFO_015_Name,0,
ITM_INFO_016_Name,0,
ITM_INFO_017_Name,0,
ITM_INFO_018_Name,21,Posizione di Gerome
ITM_INFO_019_Name,0,
ITM_INFO_020_Name,0,
ITM_INFO_021_Name,21,Ubicazione dell'Aerozium
ITM_INFO_022_Name,21,Informazioni sul cecchino
ITM_INFO_023_Name,21,Aiuto dei Ma-non
ITM_INFO_024_Name,21,Aiuto dei Ma-non
ITM_INFO_025_Name,21,Ricetta del curry
ITM_INFO_026_Name,21,Ricetta anatra alla pechinese
ITM_INFO_027_Name,21,Ricetta spezzatino misterioso
ITM_INFO_028_Name,21,Codice Definian
ITM_INFO_029_Name,21,Ricetta di Ngogo
ITM_INFO_030_Name,21,Ricetta di Pirapira
ITM_INFO_031_Name,21,Ricetta di Warawa
ITM_INFO_032_Name,0,
ITM_INFO_033_Name,0,
ITM_INFO_034_Name,0,
ITM_INFO_035_Name,21,Indizio 1
ITM_INFO_036_Name,21,Indizio 2
ITM_INFO_037_Name,21,Indizio 3
ITM_INFO_038_Name,0,
ITM_INFO_039_Name,0,
ITM_INFO_040_Name,0,
ITM_INFO_041_Name,0,
ITM_INFO_042_Name,21,Posizione di Aisha
ITM_INFO_043_Name,0,
ITM_INFO_044_Name,0,
ITM_INFO_045_Name,0,
ITM_INFO_046_Name,21,Avvistamento del cecchino 1
ITM_INFO_047_Name,21,Avvistamento del cecchino 2
ITM_INFO_048_Name,21,Avvistamento del cecchino 3
ITM_INFO_049_Name,0,
ITM_INFO_050_Name,21,Disinnesco bombe
ITM_INFO_051_Name,21,Aiuto Ma-non
ITM_INFO_052_Name,21,Avvistamento di Sun'celeg
ITM_INFO_053_Name,21,Avvistamento di Sun'celeg
ITM_INFO_054_Name,21,Posizione di Celica
ITM_INFO_055_Name,21,Posizione di Rock
ITM_INFO_056_Name,0,
ITM_INFO_057_Name,0,
ITM_INFO_058_Name,0,
ITM_INFO_059_Name,0,
ITM_INFO_060_Name,0,
ITM_INFO_061_Name,0,
ITM_INFO_062_Name,21,Conoscenza d'oltretomba
ITM_INFO_063_Name,21,Conoscenza d'oltretomba
ITM_INFO_064_Name,21,Conoscenza d'oltretomba
ITM_INFO_065_Name,21,Registro delle attività
ITM_INFO_066_Name,21,Info su Bobora il Vagabondo 1
ITM_INFO_067_Name,21,Info su Bobora il Vagabondo 2
ITM_INFO_068_Name,21,Info su Bobora il Vagabondo 3
ITM_INFO_069_Name,21,Info sul coso supergigante
ITM_INFO_070_Name,21,Info sul coso supergigante
ITM_INFO_071_Name,21,Info sul coso supergigante
ITM_INFO_072_Name,21,Info sul coso supergigante
ITM_INFO_073_Name,21,Indizio sull'Acqua Senirapa
ITM_INFO_074_Name,0,
