ID {2},Title {2},Description {2},StatsID {2},Count {3},Type {1},sortID {2},Disp {1},HideGoal {1},Unlock {1},Title_replace_ms {1},Title_replace_id {2},Desc_replace_ms {1},Desc_replace_id {2}
1,1,911,0,1,0,10,1,2,0,0,0,0,0
2,2,912,1,1,0,20,1,2,0,0,0,0,0
3,3,913,2,1,0,30,1,2,0,0,0,0,0
4,4,914,3,1,0,40,1,2,0,0,0,0,0
5,5,915,4,1,0,50,1,2,0,0,0,0,0
6,11,921,10,1,0,110,1,2,0,0,0,0,0
7,12,922,11,1,0,120,1,2,0,0,0,0,0
8,13,923,12,1,0,130,1,2,0,0,0,0,0
9,14,924,13,1,0,140,1,2,0,0,0,0,0
10,15,925,14,1,0,150,1,2,0,0,0,0,0
11,21,931,20,1,0,210,1,2,0,0,0,0,0
12,22,932,21,1,0,220,1,2,0,0,0,0,0
13,23,933,22,1,0,230,1,2,0,0,0,0,0
14,24,934,23,1,0,240,1,2,0,0,0,0,0
15,31,941,30,1,0,310,1,2,0,0,0,0,0
16,32,942,31,1,0,320,1,2,0,0,0,0,0
17,33,943,32,1,0,330,1,2,0,0,0,0,0
18,34,944,33,1,0,340,1,2,0,0,0,0,0
19,41,951,40,1,0,410,1,2,0,0,0,0,0
20,42,952,41,1,0,420,1,2,0,0,0,0,0
21,43,953,42,1,0,430,1,2,0,0,0,0,0
22,44,954,43,1,0,440,1,2,0,0,0,0,0
23,51,961,50,1,0,510,1,2,0,0,0,0,0
24,52,962,51,1,0,520,1,2,0,0,0,0,0
25,53,963,52,1,0,530,1,2,0,0,0,0,0
26,54,964,53,1,0,540,1,2,0,0,0,0,0
27,55,965,54,1,0,550,1,2,0,0,0,0,0
28,61,971,60,1,0,610,1,2,0,0,0,0,0
29,62,972,61,1,0,620,1,2,0,0,0,0,0
30,63,973,62,1,0,630,1,2,0,0,0,0,0
31,64,974,63,1,0,640,1,2,0,0,0,0,0
32,71,981,70,1,0,710,1,2,0,0,0,0,0
33,72,982,71,1,0,720,1,2,0,0,0,0,0
34,73,983,72,1,0,730,1,2,0,0,0,0,0
35,74,984,73,1,0,740,1,2,0,0,0,0,0
36,81,991,80,1,0,810,1,2,0,0,0,0,0
37,82,992,81,1,0,820,1,2,0,0,0,0,0
38,83,993,82,1,0,830,1,2,0,0,0,0,0
39,91,1001,90,1,0,910,1,2,0,0,0,0,0
40,92,1002,91,1,0,920,1,2,0,0,0,0,0
41,93,1003,92,1,0,930,1,2,0,0,0,0,0
42,94,1004,93,1,0,940,1,2,0,0,0,0,0
43,101,1011,100,1,0,1010,1,2,0,0,0,0,0
44,102,1012,101,1,0,1020,1,2,0,0,0,0,0
45,103,1013,102,1,0,1030,1,2,0,0,0,0,0
46,111,1021,110,1,0,1110,1,2,0,0,0,0,0
47,112,1022,111,1,0,1120,1,2,0,0,0,0,0
48,113,1023,112,1,0,1130,1,2,0,0,0,0,0
49,114,1024,113,1,0,1140,1,2,0,0,0,0,0
50,121,1031,120,1,0,1210,1,2,0,0,0,0,0
51,122,1032,121,1,0,1220,1,2,0,0,0,0,0
52,123,1033,122,1,0,1230,1,2,0,0,0,0,0
53,124,1034,123,1,0,1240,1,2,0,0,0,0,0
54,125,1035,124,1,0,1250,1,2,0,0,0,0,0
55,131,1042,825,1,0,1300,1,2,0,0,0,0,0
56,132,1043,545,1,0,1310,1,0,0,0,0,0,0
57,133,1044,545,10,0,1400,1,0,0,0,0,0,0
58,134,1045,545,50,0,1410,1,0,0,0,0,0,0
59,135,1046,545,100,0,1420,1,0,0,0,0,0,0
60,136,1047,338,1,0,1500,1,2,0,0,0,0,0
61,137,1048,339,1,0,1510,1,2,0,0,0,0,0
62,138,1049,340,1,0,1520,1,2,0,0,0,0,0
63,139,1050,546,1,0,1600,1,2,0,0,0,0,0
64,140,1051,693,1,0,1610,1,2,0,0,0,0,0
65,141,1052,562,1,0,1620,1,0,0,0,0,0,0
66,142,1053,562,10,0,1630,1,0,0,0,0,0,0
67,143,1054,562,100,0,1640,1,0,0,0,0,0,0
68,144,1055,562,300,0,1650,1,0,0,0,0,0,0
69,145,1056,566,1,0,1700,1,2,0,0,0,0,0
70,146,1057,563,1,0,1710,1,0,0,0,0,0,0
71,147,1058,563,10,0,1720,1,0,0,0,0,0,0
72,148,1059,563,20,0,1730,1,0,0,0,0,0,0
