name {7}
Mineable Resources:[ST:n ][ST:n ]None
Mineable Resources:[ST:n ][ST:n ]None
Mineable Resources:[ST:n ][ST:n ]None
Mineable Resources:[ST:n ][ST:n ]None
Mineable Resources:[ST:n ][ST:n ]Arc Sand Ore
"Mineable Resources:[ST:n ][ST:n ]Aurorite, Arc Sand Ore, Foucaultium"
Mineable Resources:[ST:n ][ST:n ]None
"Mineable Resources:[ST:n ][ST:n ]Foucaultium, Dawnstone, Lionbone Bort"
"Mineable Resources:[ST:n ][ST:n ]Aurorite, Arc Sand Ore, White Cometite,[ST:n ]Dawnstone"
Mineable Resources:[ST:n ][ST:n ]Foucaultium
Mineable Resources:[ST:n ][ST:n ]None
Mineable Resources:[ST:n ][ST:n ]None
Mineable Resources:[ST:n ][ST:n ]None
"Mineable Resources:[ST:n ][ST:n ]Arc Sand Ore, White Cometite,[ST:n ]Lionbone Bort"
Mineable Resources:[ST:n ][ST:n ]None
Mineable Resources:[ST:n ][ST:n ]None
"Mineable Resources:[ST:n ][ST:n ]Aurorite, White Cometite, Dawnstone"
Mineable Resources:[ST:n ][ST:n ]None
Mineable Resources:[ST:n ][ST:n ]None
Mineable Resources:[ST:n ][ST:n ]None
Mineable Resources:[ST:n ][ST:n ]None
Mineable Resources:[ST:n ][ST:n ]None
"Mineable Resources:[ST:n ][ST:n ]Cimmerian Cinnabar, Everfreeze Ore"
Mineable Resources:[ST:n ][ST:n ]Cimmerian Cinnabar
Mineable Resources:[ST:n ][ST:n ]None
Mineable Resources:[ST:n ][ST:n ]None
Mineable Resources:[ST:n ][ST:n ]None
"Mineable Resources:[ST:n ][ST:n ]Infernium, White Cometite, Cimmerian[ST:n ]Cinnabar, Foucaultium"
Mineable Resources:[ST:n ][ST:n ]Foucaultium
Mineable Resources:[ST:n ][ST:n ]None
Mineable Resources:[ST:n ][ST:n ]None
Mineable Resources:[ST:n ][ST:n ]None
